Breed,Age,Color,Sex,Class
,Older than 1 year,MALE,BROWN,Home
,Infant - Younger than 6 months,UNKNOWN,BRN TABBY,Euthanized
,Older than 7 years,FEMALE,BLACK,Euthanized
,Infant - Younger than 6 months,FEMALE,TAN,Euthanized
,Infant - Younger than 6 months,FEMALE,TAN,Home
,,UNKNOWN,BLACK,Euthanized
,Youth - Younger than 1 year,MALE,BLACK,Other
,Older than 1 year,FEMALE,WHITE,Home
,,MALE,BLACK,Other
,Infant - Younger than 6 months,FEMALE,TORTIE,Home
,Older than 1 year,MALE,BLACK,Home
SIBERIAN HUSKY - MIX,Older than 7 years,MALE,BLACK,Home
,Older than 7 years,FEMALE,BLACK,Euthanized
,Older than 1 year,FEMALE,CRM TABBY,Euthanized
BOXER - MIX,Older than 1 year,MALE,BROWN,Euthanized
CAIRN TERRIER - MIX,Older than 1 year,FEMALE,BROWN,Home
,Youth - Younger than 1 year,FEMALE,BLACK,Euthanized
LABRADOR RETR - MIX,Older than 1 year,MALE,BLACK,Euthanized
CHOW CHOW - PIT BULL,,MALE,BR BRINDLE,Euthanized
POODLE MIN - MIX,Older than 1 year,FEMALE,APRICOT,Home
,Infant - Younger than 6 months,MALE,BLACK,Other
,Infant - Younger than 6 months,MALE,BLACK,Other
,,MALE,BLK TABBY,Euthanized
,,MALE,BLACK,Euthanized
,,UNKNOWN,BLACK,Euthanized
,Older than 1 year,UNKNOWN,BLACK,Euthanized
,,FEMALE,BLACK,Home
LABRADOR RETR - MIX,,MALE,WHITE,Other
,,MALE,ORG TABBY,Euthanized
,Infant - Younger than 6 months,UNKNOWN,WHITE,Other
,Older than 1 year,MALE,GRAY,Home
,,MALE,GRAY,Other
MASTIFF - CHINESE SHARPEI,,MALE,WHITE,Euthanized
PIT BULL - MIX,,MALE,BLACK,Home
,,FEMALE,GRAY,Other
,Older than 1 year,FEMALE,TRICOLOR,Home
,Infant - Younger than 6 months,MALE,BLACK,Euthanized
,Older than 1 year,MALE,BROWN,Euthanized
,,UNKNOWN,BLACK,Euthanized
GERM SHEPHERD - MIX,Older than 1 year,FEMALE,BROWN,Euthanized
,Older than 1 year,FEMALE,BROWN,Home
