Breed,Age,Color,Sex,Class
,,UNKNOWN,BLACK
,,UNKNOWN,BRN TABBY
,,FEMALE,CHOCOLATE
,,UNKNOWN,BRN TABBY
DACHSHUND - WELSH CORGI PEM,Older than 1 year,FEMALE,TAN
LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,BLACK
,Older than 1 year,FEMALE,GRAY TABBY
,Infant - Younger than 6 months,MALE,ORG TABBY
,Youth - Younger than 1 year,MALE,WHITE
BEAGLE - MIX,Older than 1 year,MALE,TRICOLOR
,Older than 7 years,MALE,BLK TABBY
LABRADOR RETR - WEIMARANER,Older than 1 year,MALE,CHOCOLATE
,Older than 7 years,MALE,TAN
,Infant - Younger than 6 months,MALE,GRAY TABBY
,,MALE,BLACK
,,MALE,BLACK
,,FEMALE,TORTIE
POODLE STND - LABRADOR RETR,Older than 1 year,MALE,CHOCOLATE
,Older than 1 year,FEMALE,BL BRINDLE
,Infant - Younger than 6 months,UNKNOWN,BLACK
,Infant - Younger than 6 months,UNKNOWN,BUFF
,,FEMALE,BLK TABBY
BORDER COLLIE - MIX,Older than 1 year,MALE,BLACK
,,UNKNOWN,BLK TABBY
,Infant - Younger than 6 months,FEMALE,TORTIE
,Older than 1 year,MALE,RED
,Older than 7 years,FEMALE,BROWN
LABRADOR RETR - MIX,Youth - Younger than 1 year,FEMALE,WHITE
,,MALE,BLK SMOKE
,Infant - Younger than 6 months,FEMALE,BLACK
BEAGLE - BORDER TERRIER,,FEMALE,SABLE
,Infant - Younger than 6 months,FEMALE,BRN TABBY
POODLE MIN - MIX,Older than 1 year,MALE,WHITE
,,FEMALE,BLACK
,Youth - Younger than 1 year,MALE,GRAY
,Older than 1 year,FEMALE,BLACK
,Older than 7 years,MALE,BLACK
,Infant - Younger than 6 months,MALE,GRAY
,Older than 1 year,MALE,BROWN
,,MALE,SABLE
SHETLD SHEEPDOG - MIX,Youth - Younger than 1 year,FEMALE,BLACK
FEIST - CAROLINA DOG,Older than 1 year,FEMALE,TRICOLOR
,Older than 1 year,FEMALE,BLK TABBY
,,UNKNOWN,GRAY
,,UNKNOWN,BROWN
,,FEMALE,BLACK
,Older than 1 year,FEMALE,BLACK
,,UNKNOWN,GRAY TABBY
,Older than 1 year,MALE,GRAY TABBY
,Infant - Younger than 6 months,FEMALE,BLACK
PIT BULL - MIX,,FEMALE,BLACK
,Older than 1 year,MALE,GRAY TABBY
,Older than 7 years,MALE,WHITE
,Infant - Younger than 6 months,FEMALE,GRAY
,Older than 1 year,MALE,TRICOLOR
,Older than 1 year,FEMALE,ORG TABBY
,Older than 7 years,FEMALE,BLACK
,,FEMALE,TRICOLOR
,,MALE,UNKNOWN
,,FEMALE,TORTIE
LABRADOR RETR - MIX,Infant - Younger than 6 months,FEMALE,BLACK
SCHNAUZER MIN - MIX,Older than 1 year,MALE,GRAY
SCOT TERRIER - LABRADOR RETR,Infant - Younger than 6 months,MALE,BLACK
GERM SHEPHERD - CHOW CHOW,Older than 1 year,FEMALE,TAN
,,MALE,BRN TABBY
,,UNKNOWN,ORG TABBY
,Infant - Younger than 6 months,MALE,WHITE
,Older than 7 years,FEMALE,TRICOLOR
,,FEMALE,CALICO
,,MALE,UNKNOWN
BOXER - GERM SHEPHERD,,MALE,TAN
,Older than 1 year,MALE,TAN
GERM SHEPHERD - MIX,Youth - Younger than 1 year,FEMALE,BROWN
,Infant - Younger than 6 months,FEMALE,GRAY
GOLDEN RETR - AUST SHEPHERD,,MALE,BROWN
,Infant - Younger than 6 months,FEMALE,GRAY
,,MALE,GRAY
,,UNKNOWN,BUFF
,Older than 7 years,FEMALE,GRAY
,,FEMALE,BROWN
,,FEMALE,BLK SMOKE
,,MALE,ORG TABBY
,,FEMALE,BLACK
,Infant - Younger than 6 months,FEMALE,GRAY TIGER
,,FEMALE,ORG TABBY
GERM SHEPHERD - MIX,Older than 1 year,FEMALE,BLACK
BEAGLE - MIX,Older than 7 years,FEMALE,BROWN
,Infant - Younger than 6 months,MALE,GRAY TABBY
,Older than 1 year,MALE,BLACK
,,FEMALE,BRN TABBY
,,FEMALE,GRAY
,Infant - Younger than 6 months,MALE,TRICOLOR
GERM SHEPHERD - BEAGLE,Infant - Younger than 6 months,FEMALE,BROWN
,Older than 7 years,FEMALE,CREAM
,Older than 1 year,FEMALE,BLACK
,,FEMALE,UNKNOWN
,Older than 1 year,MALE,BLACK
CHOW CHOW - MIX,,MALE,BROWN
,Older than 7 years,FEMALE,GRAY
BEAGLE - BORDER COLLIE,Older than 7 years,FEMALE,TRICOLOR
,,FEMALE,GRAY TABBY
,Infant - Younger than 6 months,MALE,BLACK
,,FEMALE,BROWN
,Infant - Younger than 6 months,FEMALE,TORTIE
,Infant - Younger than 6 months,MALE,BLACK
,Older than 1 year,MALE,GRAY
,Older than 1 year,MALE,BLACK
,,MALE,BLACK
,Youth - Younger than 1 year,MALE,BR BRINDLE
,Older than 7 years,MALE,BRN TABBY
,Older than 1 year,MALE,TAN
,Older than 1 year,MALE,RED
LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,BLACK
,Youth - Younger than 1 year,MALE,BROWN
,Older than 1 year,FEMALE,BLUE
,,FEMALE,CALICO
,Older than 1 year,FEMALE,BLACK
